group	100-A	100-P	71-A	71-P	72-A	72-P	73-A	73-P	74-A	74-P	75-A	75-P	76-A	76-P	77-A	77-P	78-A	78-P	79-A	79-P	80-A	80-P	81-A	81-P	82-A	82-P	83-A	83-P	84-A	84-P	85-A	85-P	88-A	88-P	89-A	89-P	90-A	90-P	91-A	91-P	93-A	93-P	94-A	94-P	95-A	95-P	96-A	96-P	97-A	97-P
dark_sulfite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfite_respiration	0	0	0.003587070425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003215434084	0	0	0	0	0	0	0	0	0	0	0	0	0
thiosulfate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respiration_of_sulfur_compounds	0	0	0.003587070425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003215434084	0	0	0	0	0	0	0	0.0005033518658	0	0	0	0	0
arsenate_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenate_reduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anammox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002880399415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002880399415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrous_oxide_denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
denitrification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002880399415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chitinolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.875908138e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
knallgas_bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_hydrogen_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002880399415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrogen_fixation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_ammonification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.875908138e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_ammonification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.875908138e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002880399415	0	0	4.875908138e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellulolysis	0	0	0	0	0	0	0.0006906960681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
xylanolysis	0.01423632673	0	0	0	0	0	0	0	0	0	0	0	0	0.001515151515	0	0	0	0	0	0	0	0	0.001447708086	0	0.02290660418	0	0.00351887396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001521495413	0.002166199447	0	0.0002615336332	0	0
dark_sulfide_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_sulfur_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_thiosulfate_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_oxidation_of_sulfur_compounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
manganese_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
manganese_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligninolysis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fermentation	0.237540897	0.2456273251	0.3572695274	0.2938042131	0.3238653371	0.3793539042	0.2340692231	0.2873797127	0.2565107886	0.2637505305	0.3644672482	0.3167646822	0.3775819334	0.3260606061	0.4687933426	0.3024035915	0.2633422048	0.2872808989	0.3435822985	0.2294533319	0.3412614754	0.2619407824	0.3158271123	0.4187248708	0.3102035611	0.288373612	0.2509314666	0.2123999062	0.2672843151	0.254242025	0.2645958189	0.2598091492	0.2944621654	0.2821147808	0.3083125641	0.2673948023	0.3571605244	0.2767055965	0.3047771403	0.352708003	0.24386671	0.2445917439	0.4295447101	0.2559533391	0.329638273	0.3850738076	0.3209018718	0.2264358196	0.3462061295	0.2417004816
aerobic_chemoheterotrophy	0.01790662972	0.1019440778	0.0004702152242	0.05891504888	0.006648077256	0.003638078556	0.070988207	0.07276230475	0.02245994859	0.01564177465	0.009568352579	0.02849547134	0.008262186725	0.05434343434	0.004854368932	0.02295139852	0.08432553579	0.04573483146	0.01477717574	0.1062354775	0	0.09855197752	0.0103955906	0.006605399196	0.02378333572	0.03769570295	0	0.003166147351	0.001559259427	0.07616880265	0.06150642919	0.03797626137	0.04723855041	0.06365480902	0.001026242486	0.06086758659	0.03960549097	0.09439796792	0.01351500441	0.009471751648	0.04267818444	0.05298643283	0	0.02375654512	0.06244995081	0.05304738194	0.02215683494	0.1435470935	0.00148294612	0.07010504759
invertebrate_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_septicemia	0	0.002790111604	0.0004702152242	0.001280462619	0	0	0.006625565987	0.003940118853	0.02245994859	0	0.0006681458323	0.001242936553	0	0	0	0	0	0.002624719101	0	1.912429838e-05	0	0.00669980549	0	0	0	0.008530768165	0	0	0	3.193995289e-05	0	0.00404415329	6.40088759e-05	2.31443979e-05	0	0.0003088075154	0	0	0.004799205649	0.002712175582	0	0	0	0	0.000343194454	0	0	0.005126059211	0	0
human_pathogens_pneumonia	0	0	0.0004702152242	0	0	0.0007074041636	0.0004093013737	0.000725241657	0.02245994859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.200443795e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_nosocomia	0	0	0.0004702152242	0	0	0	0.0004093013737	0	0.02245994859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_meningitis	0	0.002790111604	0	0.001280462619	0	0.0007074041636	0.006216264613	0.00466536051	0	0	0.0006681458323	0.001242936553	0	0	0	0	0	0.002624719101	0	1.912429838e-05	0	0.00669980549	0	0	0	0.008530768165	0	0	0	3.193995289e-05	0	0.00404415329	9.601331385e-05	2.31443979e-05	0	0.0003088075154	0	0	0.004799205649	0.002712175582	0	0	0	0	0.000343194454	0	0	0.005126059211	0	0
human_pathogens_gastroenteritis	0.003651766102	0.000600024001	0	0.0003442103814	0	0.0002694873004	0.0005627893889	0.001363887295	0	0	0	0.001714792096	0.006334343156	0	0	0.005700017655	0	0.001671910112	0	0	0	0	0.002319821391	0	0	0.003285632286	0	0	0	0.0002395496467	0	0	0.0003840532554	0.0009103463173	0	0	0.001669552313	0.002760981805	0.0005516328332	0.001919385797	0	0.00588393448	0	0.001467622357	0	0	0.003048780488	0	0	0.0005764344495
human_pathogens_diarrhea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_pathogens_all	0.08108032959	0.07654056162	0.01618883843	0.06750654	0.04245632276	0.03525230749	0.06513008109	0.05531320698	0.05312491886	0.09964297306	0.03110029751	0.05711753806	0.04654365189	0.05404040404	0	0.0465837726	0.02829527945	0.04113258427	0.007699686309	0.0713431951	0.002165705196	0.04127944673	0.03645433615	0.01378518093	0.06129150527	0.05899293391	0.1035527455	0.1766509197	0.08471471608	0.09567612888	0.0716074393	0.1095106852	0.06715597896	0.06902430933	0.08576455065	0.09230094105	0.01419119466	0.05621358955	0.04410304501	0.04760911291	0.127619249	0.1079893283	0.04697019325	0.1045988657	0.0325805935	0.005214561565	0.04013045944	0.06198347107	0.01621972318	0.09833516629
fish_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
human_gut	0.03735182079	0.000600024001	0.0004702152242	0.001046399559	0.0003465822266	0.003520177862	0.003990688394	0.001363887295	0.03749383325	0	0	0.001714792096	0.006334343156	0	0	0.006179222679	0	0.001671910112	0	0	0.001514077084	0	0.002424474988	0.002297530155	0	0.003285632286	0.04122915961	0	0	0.0002395496467	0	0	0.0008961242626	0.0009103463173	0	0	0.002164234479	0.002760981805	0.0005516328332	0.001919385797	0	0.00588393448	0	0.002158825145	0.0002974351934	0	0.006452070335	0	0	0.0005764344495
human_associated	0.1147803843	0.07690057602	0.01618883843	0.07549222085	0.04340154702	0.04289900963	0.06814867872	0.05574618707	0.06815880352	0.09964297306	0.03110029751	0.05772749767	0.04654365189	0.05404040404	0	0.04706297763	0.02829527945	0.04113258427	0.007699686309	0.07254802589	0.00367978228	0.04841149773	0.0521174911	0.01665709362	0.06261457287	0.05899293391	0.1447819051	0.1766509197	0.08471471608	0.09567612888	0.0716074393	0.1095106852	0.06841482019	0.06902430933	0.08576455065	0.09566531767	0.01468587682	0.05621358955	0.04410304501	0.04760911291	0.1288198561	0.1107813534	0.04697019325	0.1052900685	0.03287802869	0.005214561565	0.04587351106	0.06271576525	0.01621972318	0.09984451439
mammal_gut	0.03735182079	0.000600024001	0.0004702152242	0.001046399559	0.0003465822266	0.003520177862	0.003990688394	0.001363887295	0.03749383325	0	0	0.001714792096	0.006334343156	0	0	0.006179222679	0	0.001671910112	0	0	0.001514077084	0	0.002424474988	0.002297530155	0	0.003285632286	0.04122915961	0	0	0.0002395496467	0	0	0.0008961242626	0.0009103463173	0	0	0.002164234479	0.002760981805	0.0005516328332	0.001919385797	0	0.00588393448	0	0.002158825145	0.0002974351934	0	0.006452070335	0	0	0.0005764344495
animal_parasites_or_symbionts	0.194479716	0.1094218769	0.1121396136	0.1178851714	0.1117570144	0.1055716499	0.1609577652	0.1103341524	0.06815880352	0.1418245824	0.1354823257	0.1312679104	0.106857615	0.111010101	0.05270457698	0.1546823375	0.205911192	0.141141573	0.1955772172	0.140687901	0.0967476091	0.1110870975	0.1395381288	0.05083285468	0.1457287233	0.1265067395	0.163825223	0.176701176	0.198358993	0.1326146844	0.1761908781	0.1418362118	0.1327757449	0.1012413112	0.132825099	0.1129585385	0.09998763295	0.1054418951	0.1421006178	0.1183343069	0.1659027584	0.1484219887	0.04697019325	0.1518847112	0.1152561375	0.06053596283	0.1300340329	0.08947937371	0.1613012852	0.1404907277
plant_pathogen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002297530155	0	0	0	0	0	0	0	0	0	0	0	4.875908138e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oil_bioremediation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aromatic_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001205331821	0	0	0
aromatic_compound_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001205331821	0	0	0
aliphatic_non_methane_hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrocarbon_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001205331821	0	0	0
dark_iron_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iron_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_respiration	0	0.003562642506	0.02961012441	0.001817430814	0.03322463254	0.00112847807	0.01539996419	0.007187469556	0	0.01768906199	0.006958801876	0.008631503838	0	0.001616161616	0	0.01520845419	0.008824765373	0.02105168539	0.01477717574	0.001616003213	0.05278187707	0.002377350335	0.02136677597	0.008902929351	0.006424051137	0.01238049997	0	0	0.01639493165	0	0	0.002423722006	0.005547435911	0.005986684256	0	0.001235230062	0.01122310166	0.002595322897	0.02589916152	0.006133689393	0	0	0	0.006997244657	0.0005376713112	0	0.009181792399	0.0009763922307	0.02607513594	0.003549622663
nitrate_reduction	0.00551472292	0.03635395416	0.03800682484	0.03786314195	0.04188918821	0.03841878326	0.03433015272	0.04013725469	0.1327084361	0.06267944973	0.03626897282	0.04211023006	0.009363811622	0.04181818182	0	0.05016519963	0.06989774478	0.06382022472	0.03341715708	0.09002763461	0.05351016732	0.09898422304	0.04955347799	0.03963239518	0.02700333158	0.04752291036	0	0.03886487754	0.04630849115	0.04604942708	0.02408485974	0.0389180505	0.04620374025	0.06744277548	0.06597273127	0.04926292522	0.02965001237	0.05607554046	0.04923323036	0.03609279813	0.04025431728	0.05238666446	0	0.07223542556	0.05143340884	0.08618729294	0.04831962564	0.04146179865	0.03265570934	0.04881489628
nitrogen_respiration	0	0.003562642506	0.02961012441	0.001817430814	0.03322463254	0.00112847807	0.01539996419	0.007187469556	0	0.01768906199	0.006958801876	0.008631503838	0	0.001616161616	0	0.01520845419	0.008824765373	0.02105168539	0.01477717574	0.001616003213	0.05278187707	0.002377350335	0.02136677597	0.008902929351	0.006424051137	0.01238049997	0	0	0.01639493165	0	0	0.002423722006	0.005547435911	0.005986684256	0	0.001235230062	0.01122310166	0.002595322897	0.02589916152	0.006133689393	0	0	0	0.006997244657	0.0005376713112	0	0.009181792399	0.0009763922307	0.02607513594	0.003549622663
fumarate_respiration	0	0.003562642506	0.02961012441	0.001858736059	0.03322463254	0.00112847807	0.01539996419	0.007187469556	0	0.01768906199	0.007626947708	0.008631503838	0	0.001616161616	0	0.01520845419	0.008824765373	0.02105168539	0.01477717574	0.001616003213	0.0499262127	0.002377350335	0.02136677597	0.008902929351	0.006424051137	0.01238049997	0	0	0.01639493165	0	0	0.002423722006	0.00525939597	0.006002113855	0	0.00118647098	0.01122310166	0.002595322897	0.02589916152	0.006133689393	0	0	0	0.006997244657	0.0008808657652	0	0.009181792399	0.0009763922307	0.02607513594	0.003549622663
intracellular_parasites	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002855664373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chlorate_reducers	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
predatory_or_exoparasitic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chloroplasts	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nonphotosynthetic_cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photosynthetic_cyanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_H2_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_S_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy_Fe_oxidizing	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anoxygenic_photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxygenic_photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoautotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aerobic_anoxygenic_phototrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoheterotrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phototrophy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
plastic_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ureolysis	0.0006580593736	0	0	0	0	0.0001515866065	0.0008441840833	0	0	0	0.001664061318	0	0	0	0	0	0	0	0	0.0006311018465	0	0	0	0	0.001291186457	0	0	0	0	0	0.01072001351	0.002520670886	0.002122961051	0.0006403283419	0.01099545521	0	0	0	0	0	0	0	0	0.0004734265668	0	0	0.002091605218	0	0	0.000599188441
reductive_acetogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chemoheterotrophy	0.2554475267	0.3351434057	0.3577934815	0.3380421314	0.3296154513	0.3826045948	0.2964365199	0.3433423898	0.2565107886	0.2637505305	0.3674676012	0.3329919094	0.3858441201	0.3523232323	0.4736477115	0.312466897	0.2934584676	0.3063370787	0.3529152516	0.2841870739	0.3412614754	0.3192133132	0.3233970557	0.4201608271	0.3259050261	0.3178552342	0.2509314666	0.2155660535	0.2678747143	0.2987902743	0.3196871219	0.2845588133	0.320887163	0.3261045664	0.3093388066	0.3170315471	0.3954056394	0.3388829068	0.3132171227	0.3585913377	0.2508589249	0.265190685	0.4295447101	0.2590306118	0.3699979408	0.4025602321	0.3433777652	0.3609338494	0.3476890756	0.2877318063
