pathway	description	100-A	100-P	71-A	71-P	72-A	72-P	73-A	73-P	74-A	74-P	75-A	75-P	76-A	76-P	77-A	77-P	78-A	78-P	79-A	79-P	80-A	80-P	81-A	81-P	82-A	82-P	83-A	83-P	84-A	84-P	85-A	85-P	86-A	86-P	87-A	87-P	88-A	88-P	89-A	89-P	90-A	90-P	91-A	91-P	92-A	92-P	93-A	93-P	94-A	94-P	95-A	95-P	96-A	96-P	97-A	97-P	99-A	99-P	PCR-Blank1	PCR-Blank2	Positive1	Positive2	Reagent-Blank1	Reagent-Blank2
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	8089.752595966303	8225.113677655889	6802.792383107128	7086.349140194449	9999.763707760909	9956.460451956236	4092.355922326744	9718.852085863817	10847.763555341926	4898.813594933169	8470.740615094272	10702.228899727032	472.7739943105995	2611.9882661149068	535.4229009857567	4995.421837559119	1133.798060068191	9330.78647083252	5052.254900734823	24427.727314694665	11272.043678457234	927.9683026348462	8710.384323461158	323.1329141400815	6765.601995596639	9606.089384856974	6077.429374533983	7865.379351177007	2571.6057440317168	6810.855030424878	5490.280196245486	7507.745576693417	0.0	6525.525240550564	14937.923577544398	11.16279069767442	7728.016538879447	10276.080876215943	816.4878528177478	2986.1449988430027	4950.736369302665	2871.2149982083865	3274.211184037348	3070.055838831314	64.59432992806624	6494.196684766585	5986.415487608532	5846.940132284126	1876.237306888372	8400.017977440757	11231.854994919384	14115.81446320928	3107.0145140861605	4167.159644107135	5083.990934794076	6431.782094975656	75.70867934061769	8875.639925498606	9150.794658006143	18461.53486787821	8823.726364415077	6796.952959937467	13472.699787213727	0.0
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	11217.411148247766	24304.69949625636	9297.075574830444	10423.33914942126	12104.939751979262	10070.567750680502	8194.453698031914	17058.494882346025	22749.62660987313	12730.256712966844	10335.689697524818	13160.398948371922	87399.18436855802	69871.56182459611	32189.282119596253	17734.228008214166	37785.90290683113	27758.03010876407	27170.580253588363	36406.76581719094	28323.06482644857	39599.87238641652	30658.041263658764	43010.86373955815	8998.939987235111	12458.513696746322	13445.967090522268	18366.667309655128	3974.210448079449	21798.876153177363	9790.627200757011	11933.742531074571	0.0	7799.731760363598	17757.135894981824	22.637562443180222	9648.516737572145	17759.1621521939	5101.340941736264	8628.404734734548	6520.569209190765	5561.792382935577	3518.430308214528	4298.78890896232	260.48613055317867	15119.472768822909	7763.514619089045	12742.262506380634	7718.396926239483	9749.419460178431	13839.743691690694	15447.289221684934	4049.484631756794	12171.063772492476	4656.731752499658	15588.376397097045	101.17002680251868	17625.221763206286	22433.67440424768	22758.165229342067	15283.620643969038	10816.048709539831	23701.169629878168	7106.140852330812
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	11074.365820714354	26862.312735665106	9415.858590128964	10969.249254383112	12301.611738227031	8841.162059348158	8736.726831818309	18605.928879373525	22979.422866206784	13485.427298673192	10957.409795307154	13787.832362634812	90057.59950903832	72184.50865733842	33103.30059914284	18476.581314553638	38931.55215000328	28776.81319186778	27891.43038167517	38158.19734397689	28524.68087817601	40832.709549061175	31778.221861677768	44358.41418406255	9828.013774546593	13486.932247666236	14029.805153835994	19641.321907629208	3469.4756404043205	23485.9483091756	10220.14819092285	12218.619764124742	0.0	8161.664901365435	18368.156965719227	25.71611089817299	10037.434916775042	18757.01113343807	5789.573840873874	9546.384901446409	6871.100673625365	6025.630616329959	3626.717322652898	4439.025191099964	277.75637682781826	15927.88825045278	7729.896212465728	13108.525197943094	7607.515099247556	9589.343764383648	14854.897728731868	16817.241195639635	4365.64409492312	13618.143437740458	4358.272267523541	16905.478439805862	106.74523860122083	19050.098453572897	21903.13632369961	24511.04946001125	16161.44387734524	11216.591045626756	23611.39033086392	8099.377805737185
ARO-PWY	chorismate biosynthesis I	24037.43395230677	37540.18910491971	25158.66184603361	19013.45314062675	26252.929808896464	20238.076817185265	13170.404280297236	28268.30319337535	26239.405859018854	18930.02880905188	22922.4511536215	27275.58831026788	86193.37302434338	69527.40171348608	32054.50316854073	23005.28974432441	38316.385459985046	35323.72102309456	35769.29060940393	44698.62958311387	38982.538842099326	39444.83884737216	38212.87210479489	42548.755575447714	20910.646333872348	27858.15762733566	17461.30133518408	21756.17262683769	11600.188700860715	30490.620142937085	18371.48683813916	20779.82757577328	0.0	15897.08095261122	26691.373469543447	83.5404365960674	22250.192718499213	30077.605985752576	5731.747147440553	15891.966426895297	12900.53357153202	9893.12308692345	10122.746486269052	9270.6681794641	294.34492060445655	19077.407283925717	26656.012567327067	25094.88190959364	10783.645383316696	24359.89460490812	24652.511568992795	23738.056982978444	7663.8833871156285	17546.99925389828	14190.876717934709	33682.31333602987	299.2214669660398	26083.89468942125	25236.95786489802	26515.189118561277	15914.326763787843	10868.18640412434	26836.7999788634	7450.982528205379
ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	10575.762638800416	17506.62057416766	13988.852386365792	12169.17410960883	14086.28202778563	15298.345508716267	7155.5125929983	14439.226512678446	17129.521194119505	11037.901843508916	14454.318244240532	18000.997911814935	546.0530465143037	1237.193167174673	700.8227288025445	5911.605228496166	1267.9214553009976	10085.283776285922	8562.99929746961	14366.021159027729	14268.34757374194	654.4659039575718	8426.118706425465	402.0875056777813	12953.45279273791	16754.375301656226	9997.453387301724	11719.96631892104	8165.200204065749	13944.78635190678	14241.094677600622	11468.41590741436	0.0	8854.415591017067	15310.494792090378	26.05332897104531	13453.194033132404	15325.884892601469	4348.956712761011	8610.515182349012	7542.39845991847	5596.839890726018	6597.543481703971	5792.000108912664	196.9218378937377	6915.970394231998	11971.70580187342	13673.97130216673	8590.541977998686	11630.967069926432	13720.829438616169	9805.277558662738	4238.384175026202	6867.631612898732	6891.902559256546	18989.45439733545	157.53881625647043	11477.0285113324	20127.40315045939	5986.025608608162	9029.075357107582	6629.844239704716	19899.12523835171	5586.891993908455
AST-PWY	L-arginine degradation II (AST pathway)	648.20570764206	1.7444444444444445	352.68635562906985	17.17663421418637	76.99338267505937	943.1275876839808	388.3355851207877	2.9832104107852144	8075.02615291643	2501.624680774019	1395.2542575488403	14.997860602798706	40.03385545905707	5.038037748117066	2.0045831213867835	1.992499111269108	20.533055454874955	11.18244999191008	23.217130845527343	111.71812348247416	0.979487798985262	34.20436848462824	1.1111111111111112	63.92898297355555	1925.046065189672	0.0	2112.3100955639675	6737.871064221205	0.0	15.709837210927128	1537.8666666666668	606.4388932568249	0.0	94.11004033375411	2694.0008062189045	0.0	478.2230001494111	250.3251071347904	3382.960467077242	991.2750427432876	15.223048327137546	7.239248961496977	23.82767801079995	90.42622277545622	102.00289187241412	593.9065166822855	210.94424650107223	640.013318565824	2563.2963267106343	159.05555555555557	0.0	6.344444444444444	397.97421496508673	9.53757225433526	220.3434050745229	80.57277332002988	2.3777777777777778	0.0	5550.746105518551	6119.515578197547	3130.0874311838643	1669.1802567822724	6022.388796158939	6174.444444444443
BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	11339.1696699305	34125.79741379025	14478.60581860003	15974.800414908845	18043.94665426189	13442.961644837182	11051.33243277646	23937.51009658721	30032.435713851068	19065.92756082512	13528.718028368394	20103.218073177988	106816.91698440709	85642.96774511396	39466.20476020768	23531.26190673049	46566.71072613643	37233.62416292439	33073.12264106353	48374.03234600608	38096.96991972543	49011.39153678906	40806.91998717652	52784.2616018287	14704.087145430673	22099.178424875216	17014.2658983877	21982.455636339106	5336.029535469562	30236.356030470844	16890.419036559117	19664.14871987548	0.0	12540.54585264878	27257.267114213493	88.59919362452837	17850.288255011616	28213.28909201013	5094.267468419839	14920.586452099002	9065.890923812232	8885.11131726544	6861.7224391794	6522.281798487468	286.6233283898068	20045.837518078515	27271.42175101772	26345.807283653587	9778.971048608935	24497.844242990235	17984.87126337538	20532.87820324111	5571.10488123897	15758.86023719073	5774.191201989445	33049.95378974008	126.89719448572552	23866.55631213778	28378.06324895677	36574.58979376371	11617.3563803641	8293.492484959466	30229.11733272929	6823.189639883387
CALVIN-PWY	Calvin-Benson-Bassham cycle	33374.752610853335	39685.68495036944	30597.769664444422	23240.56554749948	33441.78975450835	29736.51814488425	17042.9449458503	33364.58263106985	30065.594741384622	22392.6975333966	32419.948319754807	35378.67410652848	94325.78108214337	76163.77159571667	35076.872436646656	26274.667649043127	41928.14771496382	39746.70539782219	44006.43436098954	47613.79882272034	48062.12910900625	43057.11217369157	41423.90765524388	46536.87036019831	26049.417700475315	33873.64246707466	22368.885037097916	25787.51040322568	16052.273787745478	32161.297206408828	19124.89722804669	25081.119187365475	0.0	19282.424247314004	31324.135332971568	58.88622964216916	26473.76899310313	33841.53403487375	7870.025857648567	17708.419066144572	16638.730184629858	11645.022608090334	12330.284928418736	11214.068718687538	319.3667665351305	21315.51314500773	25040.214097200693	24526.244069340737	14553.78296857691	25820.641735480545	31443.68142366406	32158.700096308865	10338.312172321755	19584.16974447955	19238.728606167737	34706.9521691976	358.5668611791283	29204.929460091906	26253.728237047035	17346.859406180523	21667.83401719609	15636.259268108022	25794.679111625977	8641.994947809999
CARNMET-PWY	L-carnitine degradation I	703.7175678839435	2.303242121115243	197.2827665364504	6.979591836734694	101.44137809821562	19.65316142901751	153.47335499220392	213.63785230875655	3474.9057618917864	1546.6964198870078	356.70328492732017	28.534315016459864	22.96695923136848	9.596140117572494	1.43	366.17829332981046	15.148192523338452	10.519177273645104	40.65479471076282	214.90409927821648	19.51054869008277	71.60362411802437	104.0	8.669745945861589	574.228321996488	201.2462688537414	670.4243115026071	1885.347440921001	0.0	18.76971580981748	1509.8356853389118	330.79453461364085	0.0	85.3979429668056	2364.435243688739	0.0	256.6601516598185	352.9244390155217	2944.8076852727745	839.8941788570795	15.16352270270096	13.62	110.85051236577844	28.937187593616294	54.60493306132858	289.93239138792774	93.61307831871788	348.76315095932915	1266.8690212390327	691.006697065048	6.832814122533748	24.380000000000003	158.09637997481587	56.09815950920245	148.33616733876687	291.46424870466313	2.14	22.22005624296963	1954.7362487279408	3921.486493147543	1267.7259267981678	855.7958558714249	2787.674153548996	5552.0
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	135.23150535291887	0.0	720.4546517326635	21.051136363636363	62.00473163188433	1117.767220902613	339.2624084322193	1.399403762618317	5385.200277160103	1575.0180243806758	1940.247032088669	6.2356440140220295	7.253305737301994	8.29845042295222	4.48221232256743	9.889917806944595	18.95850902230465	14.014378615213849	17.99772561940904	197.7354796144037	0.0	45.91459998554196	0.0	113.88262894620752	2359.448936743652	0.0	2689.981184339016	5369.05962560708	0.0	17.14667563046991	2391.2310811443326	541.7170241134522	0.0	76.84394071490846	4684.751722607226	0.0	768.7058399147493	249.2287521565276	289.0398015092747	127.50959937602578	10.25119028074208	5.880112379105442	0.0	55.657807991867614	54.19438858565546	762.7500827973653	299.7532557300165	651.2601689544226	1972.9669071082235	84.24573375441865	15.838695838695838	0.0	440.619902277429	21.473684210526315	94.99193948407618	160.8717835377529	0.0	3.187434064001876	8403.826038634468	12398.600738802794	0.0	0.0	10501.325090281138	0.0
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	0.0	8.970141369235208	0.0	0.0	0.0	29.69184762738932	0.0	0.0	0.0	23.87258682386894	369.031521571246	0.0	0.0	0.0	0.0	0.0	16.713563251999275	0.0	5.97738534176623	0.0	0.0	0.0	0.0	0.0	320.0985474752205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.178447769386	0.0	0.0	0.0	0.0	0.0	0.0	8.94764136531097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9871394415770025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CITRULBIO-PWY	L-citrulline biosynthesis	4153.0096825594055	7427.8465448328925	8375.319827557636	1271.8327074784995	11023.733274163116	1123.2565720537034	1467.2580447330008	7651.000188978433	5828.831060303803	1331.6658597936153	2987.236478328883	5770.025272767499	764.1706151891763	4973.232003743544	1760.0014984052948	8343.230898761703	2290.000197783527	14059.358844998118	6642.603249741407	28172.71996290184	17110.705599452587	1965.4550840792228	9314.860585805078	828.3219925792837	4246.845671213835	7419.339315518049	2255.648300711687	7740.30011188894	135.07234982154043	7160.0090494050055	4804.740222106492	5449.742449261005	0.0	5414.598092460686	9895.406542181683	0.0	3689.538739982651	3614.36588485893	568.3884454871076	1762.8611245407983	3555.026994559711	1853.534325450897	2190.098398004612	3328.2308726780966	0.0	5029.098840979181	1404.8738221701954	2597.804754197545	1393.5878979013382	3084.0269782496075	7735.475704113493	11997.56530304747	1138.000772536041	2897.258166422452	4744.832005544685	4523.669101237716	30.26752423334677	6374.701030360114	7263.353069488633	18796.38279381644	7862.197191704588	5234.177552191971	9692.164198107985	0.0
COA-PWY	coenzyme A biosynthesis I (prokaryotic)	25223.0785874411	38765.166043549776	26472.908299260696	20815.844422753384	27941.44658558646	22101.08503705526	12294.254998269254	29228.17697249049	20713.83369722328	19138.94072880683	23334.524857455803	28532.065725101893	86208.61731354918	69453.77473189913	32048.92411212848	22776.341406987554	38330.30276297019	35635.5368928582	37279.36209108239	44183.54746786749	41049.69471447543	39325.5402183273	38809.07839215388	42498.31008639307	22069.670916218853	28686.43313630953	17432.5999511826	19093.493060566245	11956.673552969994	32069.807070459745	18256.14639650997	22435.73223216401	0.0	15905.55944582678	24654.70579741443	95.12287334593572	22934.717307103176	32470.93684687451	5191.367305096938	16374.586896468823	12296.267818733482	10643.224930864826	10230.60992968506	9450.46507311094	160.45210361593922	20389.923908853278	29946.17657886119	26248.738746328803	7940.008345159617	26275.42842790045	26447.11236679269	25930.801159686027	8142.002458415488	18365.231209598573	14827.77744682668	35277.49370260784	294.32357027874275	27867.893876555667	16784.033530761484	21797.45	17572.952709140365	12486.944378175647	19691.51420118992	5689.0
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	24879.304055100078	36472.59555582896	25579.00727297254	20000.64571687778	27497.527867038352	22349.616491021967	11851.404007464776	28000.86443565138	21455.0051751054	17781.136215713293	23583.580717145804	27678.60303984173	86181.09472242022	69350.77708632423	32049.47925123649	22473.356855851656	38261.73259498443	34970.385274103995	36910.46841322536	42522.08842857431	40754.013458490284	39270.04191577715	37845.85772582173	42490.97103655395	21228.36110172728	27429.75279103467	15623.082566207811	17755.654015578053	11497.751942800489	29708.3410980186	17360.55226452117	20860.32979538763	0.0	14985.087980477958	24544.93010051537	85.0	21757.36308895148	29853.564220041462	5142.157731644866	15176.304424654903	12240.41017901362	10163.507935107576	9761.400313458042	8972.493695560997	171.4728238666906	18677.94405288682	27161.54754210131	23713.189223464724	8320.913381079732	24046.447507558045	25491.402451156297	25746.64944069913	8047.397898973342	17584.088275752238	14876.395829386322	32625.842703773724	282.64893320322966	26067.33132869908	17649.710995901314	21797.45	17979.161853702888	12888.558908393248	20846.368412989024	5689.0
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I	10652.60949995584	9331.785618148131	16265.717805990422	5999.283705869546	9742.10869918947	11086.105492170622	3625.8305994898	10911.068939190098	8998.002346009818	7186.6685473635	10804.991764217932	11633.352026170514	461.9605374578175	964.7002031987322	317.53	3185.580981866773	507.8408012282579	5387.376399003637	5435.589983790223	6460.059021929951	12293.308750858943	411.5697354729025	5815.320578129727	358.511074238098	9132.744757855053	9147.528791643494	5385.393088084008	9260.02962539554	8510.811023957389	10014.879004872162	6078.85681095917	5842.423280977837	0.0	5854.275882347287	8699.638435956233	1.1538461538461535	9344.822777597512	9260.198124983544	3579.549046797616	5069.474051494886	6052.462716481652	2529.6483734446388	4049.122452176648	3406.8033675480697	94.72445927363908	9269.789700963622	2669.564843420625	4238.4714157189	3410.46	5738.4654506260085	7602.187763981016	6510.354655338885	4361.359217978561	4056.679316679143	7790.854670443846	5230.459510638316	117.83114880442692	11142.770509967084	10585.33037716728	14501.553366738866	3176.4608863683493	1733.9195920131383	12246.21	5629.250319612457
CODH-PWY	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)	327.06279595560494	0.0	863.5036293438163	34.64375548175736	1032.450446862765	74.8225245280309	0.0	135.65049291660668	0.0	0.0	1094.3694900844253	203.3936178234564	13.549993168868864	0.0	0.0	0.0	23.901876373059466	21.96768926049092	410.9709251608159	0.0	460.7590014903248	0.0	0.0	0.0	0.0	45.63720961043124	0.0	0.0	0.0	44.09651980144224	0.0	0.0	0.0	76.65848146541681	2522.386367146524	0.0	0.0	0.0	0.0	0.0	314.00873996010864	23.27787858265808	331.54030125775347	0.0	0.0	153.62406825446723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.50318376317011	5.521288811971938	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COLANSYN-PWY	colanic acid building blocks biosynthesis	19326.084120916592	13431.176241936617	21288.26564436553	9053.787432319894	19922.04185794216	13676.084826867353	8553.662492143816	16685.552130102937	22223.1150441804	8887.106196861385	17566.967038759358	19592.87416213752	913.1975492324042	1512.057748255152	1997.9367559541224	8702.1794390064	2695.6584457798804	11697.61768787023	16664.215629059006	5119.215008006793	23293.20548779424	936.1877473636528	12822.016618873511	533.1510292470225	16777.44511371969	18321.96071912009	10807.950698956463	13524.097688196289	8758.306706466294	5243.19503072386	16313.104806458046	10652.70721940246	0.0	11488.930621229603	20325.8679969031	0.0	13121.311160433896	9736.744784418332	5094.454931138891	6141.297191650868	10017.055764227753	4142.019428802748	7305.212663779267	7220.27884818759	263.5892922976107	6050.621499074913	5532.154850328952	7660.815990503641	11127.165192681365	7067.935624336685	16099.708198186832	9686.604547229175	5570.412779337144	5900.172851154147	12672.02241404615	9338.496866176522	268.70276810011643	9517.427435176412	23302.094300633617	14073.500295012173	6451.512298329357	3535.979894539945	23305.09518124624	6496.454314684223
